ID,Player,Span,Mat,Inns, Overs ,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
266,M Muralitharan (SL),2006-2010,12,12, 47.00 ,0,297,13,29-Mar,22.84,6.31,21.6,0,0
267,TJ Murtagh (IRE),2012-2016,14,14, 44.40 ,0,324,13,23-Mar,24.92,7.25,20.6,0,0
268,JDS Neesham (NZ),2012-2019,18,16, 37.40 ,0,323,13,16-Mar,24.84,8.57,17.3,0,0
269,GH O'Brien (BMUDA),2008-2019,11,11, 38.30 ,2,232,13,11-Feb,17.84,6.02,17.7,0,0
270,YK Pathan (INDIA),2007-2012,22,17, 50.50 ,0,438,13,22-Feb,33.69,8.61,23.4,0,0
271,Pavandeep Singh (MAL),2019-2019,10,10, 35.10 ,0,249,13,12-Mar,19.15,7.08,16.2,0,0
272,RW Price (ZIM),2008-2012,16,16, 61.30 ,4,378,13,6-Feb,29.07,6.14,28.3,0,0
273,SK Raina (INDIA),2006-2018,78,27, 58.10 ,0,442,13,6-Feb,34,7.59,26.8,0,0
274,PADLR Sandakan (SL),2017-2019,14,14, 55.00 ,1,400,13,23-Apr,30.76,7.27,25.3,1,0
275,S Snater (NL),2018-2019,13,12, 34.50 ,0,337,13,Mar-42,25.92,9.67,16,0,0
276,Tamoor Sajjad (QAT),2019-2019,12,12, 43.20 ,1,309,13,11-Mar,23.76,7.13,20,0,0
277,RN ten Doeschate (NL),2008-2019,22,10, 35.00 ,0,245,13,23-Mar,18.84,7,16.1,0,0
278,Usman Shinwari (PAK),2013-2019,16,16, 51.00 ,0,424,13,31-Mar,32.61,8.31,23.5,0,0
279,Arafat Sunny (BDESH),2014-2016,10,10, 31.00 ,0,230,12,17-Feb,19.16,7.41,15.5,0,0
280,Baljit Singh (ITA),2019-2019,8,7, 23.00 ,0,127,12,20-Apr,10.58,5.52,11.5,1,0
281,TS Chisoro (ZIM),2015-2018,12,12, 46.00 ,1,316,12,17-Mar,26.33,6.86,23,0,0
282,PWH de Silva (SL),2019-2019,8,8, 25.40 ,0,204,12,21-Mar,17,7.94,12.8,0,0
283,GDR Eranga (CAN),2019-2019,9,9, 31.50 ,1,204,12,19-Mar,17,6.4,15.9,0,0
284,MG Erasmus (NAM),2019-2019,16,10, 32.10 ,0,171,12,12-Mar,14.25,5.31,16,0,0
285,Ibrahim Hassan (Mald),2019-2019,11,11, 35.50 ,1,291,12,24-May,24.25,8.12,17.9,0,1
286,JH Kallis (SA),2005-2012,25,19, 46.00 ,1,333,12,15-Apr,27.75,7.23,23,1,0
287,LC Le Tissier (GUE),2019-2019,9,9, 35.00 ,0,207,12,17-Mar,17.25,5.91,17.5,0,0
288,N Madziva (ZIM),2015-2019,15,15, 46.50 ,0,417,12,Apr-34,34.75,8.9,23.4,1,0
289,WP Masakadza (ZIM),2015-2019,12,12, 40.00 ,1,312,12,28-Apr,26,7.8,20,1,0
290,AD Mascarenhas (ENG),2007-2009,14,14, 42.00 ,0,309,12,18-Mar,25.75,7.35,21,0,0
291,BMAJ Mendis (SL),2011-2018,22,14, 35.00 ,0,249,12,24-Mar,20.75,7.11,17.5,0,0
292,Mohammad Nawaz (3) (PAK),2016-2018,16,16, 50.00 ,1,340,12,11-Feb,28.33,6.8,25,0,0
293,Mohammad Saifuddin (BDESH),2017-2019,13,13, 43.00 ,0,386,12,Apr-33,32.16,8.97,21.5,1,0
294,Muhammad Kashif (KUW),2019-2019,10,9, 27.00 ,1,212,12,30-Mar,17.66,7.85,13.5,0,0
295,J Mulder (IRE),2016-2017,8,8, 29.00 ,0,192,12,16-Apr,16,6.62,14.5,1,0
296,JD Nel (SCOT),2007-2010,10,9, 31.00 ,3,169,12,10-Mar,14.08,5.45,15.5,0,0
297,T Shamsi (SA),2017-2019,16,16, 57.00 ,1,429,12,16-Feb,35.75,7.52,28.5,0,0
298,BDH Stevens (JER),2019-2019,17,14, 40.20 ,0,249,12,17-Mar,20.75,6.17,20.1,0,0
299,Taskin Ahmed (BDESH),2014-2018,19,17, 55.50 ,1,438,12,Feb-32,36.5,7.84,27.9,0,0
300,J Theron (SA),2010-2012,9,9, 32.20 ,0,261,12,27-Apr,21.75,8.07,16.1,1,0
301,SO Tikolo (KENYA),2007-2013,15,10, 28.20 ,0,168,12,2-Apr,14,5.92,14.1,1,0
302,Umar Adam (Mald),2019-2019,11,8, 27.00 ,0,168,12,17-Mar,14,6.22,13.5,0,0
303,S Vijayakumar (SGP),2019-2019,9,9, 28.00 ,1,204,12,25-Apr,17,7.28,14,1,0
304,Zulfiqar Babar (PAK),2013-2014,7,7, 26.00 ,1,185,12,23-Mar,15.41,7.11,13,0,0
305,Abdur Rehman (PAK),2007-2013,8,8, 26.00 ,0,192,11,7-Feb,17.45,7.38,14.1,0,0
306,Aftab Alam (AFG),2012-2018,12,12, 40.50 ,0,324,11,23-Feb,29.45,7.93,22.2,0,0
307,Anwar Rahman (MAL),2019-2019,9,8, 23.30 ,1,117,11,16-Apr,10.63,4.97,12.8,1,0
308,MA Baig (MWI),2019-2019,7,7, 26.00 ,0,160,11,20-Apr,14.54,6.15,14.1,1,0
309,RP Burl (ZIM),2018-2019,16,15, 33.00 ,1,279,11,24-Mar,25.36,8.45,18,0,0
310,DT Christian (AUS),2010-2017,16,16, 35.30 ,0,317,11,27-Mar,28.81,8.92,19.3,0,0
311,N Dutta (CAN),2019-2019,11,11, 39.00 ,0,253,11,12-Feb,23,6.48,21.2,0,0
312,Irfan Ahmed (HKG),2014-2015,8,8, 27.00 ,0,190,11,11-Mar,17.27,7.03,14.7,0,0
313,D Maisuria (Botsw),2019-2019,6,5, 17.10 ,0,121,11,28-Apr,11,7.04,9.3,1,0
314,NO Miller (WI),2009-2014,9,9, 31.40 ,0,224,11,20-Feb,20.36,7.07,17.2,0,0
315,Mohammed Nadeem (QAT),2019-2019,15,15, 52.00 ,0,364,11,23-Mar,33.09,7,28.3,0,0
316,Muhamad Syahadat (MAL),2019-2019,10,8, 21.00 ,0,127,11,7-Mar,11.54,6.04,11.4,0,0
317,L Ngidi (SA),2017-2018,7,7, 20.00 ,0,128,11,19-Apr,11.63,6.4,10.9,1,0
318,SH Obed (VAN),2019-2019,12,9, 28.00 ,0,190,11,23-Mar,17.27,6.78,15.2,0,0
319,NM Odhiambo (KENYA),2010-2019,16,14, 41.00 ,0,319,11,30-Mar,29,7.78,22.3,0,0
320,TM Odoyo (KENYA),2007-2013,11,10, 36.00 ,0,170,11,17-Mar,15.45,4.72,19.6,0,0
321,TK Patel (USA),2019-2019,7,6, 22.00 ,0,146,11,27-Apr,13.27,6.63,12,1,0
322,Sikandar Raza (ZIM),2013-2019,32,22, 46.00 ,0,376,11,7-Feb,34.18,8.17,25,0,0
323,DT Tiripano (ZIM),2016-2019,10,10, 34.30 ,0,278,11,20-Mar,25.27,8.05,18.8,0,0
324,MA Wood (ENG),2015-2019,5,5, 17.30 ,0,148,11,9-Mar,13.45,8.45,9.5,0,0
325,MH Yardy (ENG),2006-2011,14,13, 46.00 ,0,299,11,19-Feb,27.18,6.5,25,0,0
326,Anwar Ali (PAK),2008-2016,16,15, 44.10 ,0,367,10,27-Feb,36.7,8.3,26.5,0,0
327,P Arrighi (Arg),2019-2019,5,5, 19.00 ,2,84,10,4-May,8.4,4.42,11.4,0,1
328,Awais Malik (QAT),2019-2019,11,11, 33.00 ,0,279,10,19-Mar,27.9,8.45,19.8,0,0
329,L Balaji (INDIA),2012-2012,5,5, 16.00 ,0,121,10,19-Mar,12.1,7.56,9.6,0,0
330,K Christie (HKG),2019-2019,11,11, 39.00 ,0,292,10,23-Feb,29.2,7.48,23.4,0,0
331,PC Connell (IRE),2008-2010,9,8, 25.30 ,1,156,10,8-Mar,15.6,6.11,15.3,0,0
332,C de Grandhomme (NZ),2012-2019,33,18, 47.50 ,0,432,10,22-Feb,43.2,9.03,28.7,0,0
333,XJ Doherty (AUS),2012-2013,11,11, 38.00 ,0,300,10,20-Mar,30,7.89,22.8,0,0
334,Fayyaz Butt (OMAN),2019-2019,14,14, 43.30 ,0,313,10,16-Mar,31.3,7.19,26.1,0,0
335,MR Gillespie (NZ),2006-2008,11,10, 35.00 ,3,255,10,7-Apr,25.5,7.28,21,1,0
336,RM Hira (NZ),2012-2013,15,13, 42.20 ,1,337,10,Feb-42,33.7,7.96,25.4,0,0
337,JR Hopes (AUS),2005-2010,12,12, 37.00 ,0,283,10,26-Feb,28.3,7.64,22.2,0,0
338,Junaid Siddiqui (CAN),2012-2019,13,13, 45.00 ,1,266,10,10-Mar,26.6,5.91,27,0,0
339,BJ McCarthy (IRE),2017-2018,6,6, 24.00 ,0,259,10,Apr-33,25.9,10.79,14.4,1,0
340,Mohammed Shami (INDIA),2014-2019,8,8, 27.40 ,0,275,10,Mar-38,27.5,9.93,16.6,0,0
341,JF Mooney (IRE),2009-2015,27,10, 26.00 ,1,176,10,7-Feb,17.6,6.76,15.6,0,0
342,PP Ojha (INDIA),2009-2010,6,6, 21.00 ,0,132,10,21-Apr,13.2,6.28,12.6,1,0
343,LN Oluoch (KENYA),2013-2019,10,10, 29.00 ,1,209,10,22-Mar,20.9,7.2,17.4,0,0
344,H Osinde (CAN),2008-2013,11,11, 35.00 ,0,250,10,Mar-36,25,7.14,21,0,0
345,S Prasanna (SL),2013-2017,20,18, 50.00 ,1,359,10,Feb-45,35.9,7.18,30,0,0
346,LN Rajbanshi (NEPAL),2018-2019,12,12, 38.20 ,0,231,10,6-Mar,23.1,6.02,23,0,0
347,CAK Rajitha (SL),2016-2019,10,10, 37.00 ,0,358,10,29-Mar,35.8,9.67,22.2,0,0
348,SHA Rance (NZ),2017-2019,8,7, 27.00 ,0,245,10,26-Mar,24.5,9.07,16.2,0,0
349,Raza Hasan (PAK),2012-2014,10,10, 38.00 ,1,219,10,14-Feb,21.9,5.76,22.8,0,0
350,KAJ Roach (WI),2008-2012,11,11, 39.00 ,1,284,10,25-Feb,28.4,7.28,23.4,0,0
351,MD Shanaka (SL),2015-2019,35,14, 24.10 ,0,182,10,16-Mar,18.2,7.53,14.5,0,0
352,BA Stokes (ENG),2011-2018,23,18, 55.40 ,1,496,10,26-Mar,49.6,8.91,33.4,0,0
353,R Vinay Kumar (INDIA),2010-2013,9,9, 31.30 ,0,247,10,24-Mar,24.7,7.84,18.9,0,0
354,HR Walsh (USA/WI),2019-2019,13,11, 32.50 ,0,257,10,21-Feb,25.7,7.82,19.7,0,0
355,B Ward (JER),2019-2019,13,13, 39.20 ,2,249,10,19-Mar,24.9,6.33,23.6,0,0
356,FA Allen (WI),2018-2019,11,10, 31.00 ,1,214,9,19-Feb,23.77,6.9,20.6,0,0
357,Atif Mehmood (ESP),2019-2019,9,9, 27.00 ,0,154,9,14-Feb,17.11,5.7,18,0,0
358,Bilal Zalmai (Aut),2019-2019,5,4, 14.00 ,1,67,9,12-Apr,7.44,4.78,9.3,1,0
359,DE Bollinger (AUS),2011-2014,9,9, 35.00 ,0,249,9,22-Jan,27.66,7.11,23.3,0,0
360,TM Dilshan (SL),2006-2016,80,25, 43.00 ,0,313,9,4-Feb,34.77,7.27,28.6,0,0
361,Elias Sunny (BDESH),2012-2012,7,7, 23.00 ,1,146,9,13-May,16.22,6.34,15.3,0,1
362,OD Hald (DEN),2019-2019,9,7, 21.30 ,0,113,9,18-Mar,12.55,5.25,14.3,0,0
363,PD Hennessy (ESP),2019-2019,8,5, 12.00 ,1,86,9,27-Mar,9.55,7.16,8,0,0
364,BW Hilfenhaus (AUS),2007-2012,7,7, 26.00 ,0,161,9,15-Feb,17.88,6.19,17.3,0,0
365,DR Hooper (GUE),2019-2019,9,9, 31.20 ,0,211,9,5-Mar,23.44,6.73,20.8,0,0
366,Ilyas Ahmed (KUW),2019-2019,6,6, 21.00 ,0,160,9,17-Mar,17.77,7.61,14,0,0
367,TE Kane (IRE),2015-2019,7,5, 15.20 ,0,143,9,19-Mar,15.88,9.32,10.2,0,0
368,RK Kleinveldt (SA),2008-2013,6,6, 20.20 ,1,173,9,18-Mar,19.22,8.5,13.5,0,0
369,ND Laegsgaard (DEN),2019-2019,9,7, 23.00 ,0,105,9,5-Feb,11.66,4.56,15.3,0,0
370,KS Leverock (BMUDA),2019-2019,12,8, 26.00 ,0,210,9,19-Mar,23.33,8.07,17.3,0,0
371,PK Matautaava (VAN),2019-2019,10,8, 28.00 ,1,199,9,9-Feb,22.11,7.1,18.6,0,0
372,Md Nurul Huda (Fin),2019-2019,5,5, 16.30 ,0,118,9,11-Mar,13.11,7.15,11,0,0
373,Mehran Khan (OMAN),2015-2019,19,11, 31.00 ,0,222,9,18-Mar,24.66,7.16,20.6,0,0
374,GRD Munasinghe (ITA),2019-2019,8,7, 27.00 ,1,191,9,11-Apr,21.22,7.07,18,1,0
375,S Muniandy (MAL),2019-2019,15,12, 30.00 ,0,260,9,5-Feb,28.88,8.66,20,0,0
376,B Muzarabani (ZIM),2018-2018,6,6, 24.00 ,0,220,9,21-Mar,24.44,9.16,16,0,0
377,A Neill (SCOT),2019-2019,5,5, 20.00 ,0,154,9,21-Mar,17.11,7.7,13.3,0,0
378,AR Patel (INDIA),2015-2018,11,11, 39.00 ,0,265,9,17-Mar,29.44,6.79,26,0,0
379,D Paterson (SA),2017-2018,8,8, 29.50 ,0,265,9,Apr-32,29.44,8.88,19.8,1,0
380,WA Peatfield (GUE),2019-2019,8,8, 28.00 ,0,198,9,23-Mar,22,7.07,18.6,0,0
381,Qadeer Ahmed (UAE),2015-2019,10,10, 32.00 ,1,253,9,18-Feb,28.11,7.9,21.3,0,0
382,JA Richardson (AUS),2017-2019,9,9, 34.00 ,0,287,9,Feb-32,31.88,8.44,22.6,0,0
383,Rizwan Cheema (CAN),2008-2019,24,15, 50.00 ,1,382,9,19-Feb,42.44,7.64,33.3,0,0
384,JRMVB Sanjaya (SL),2017-2017,8,8, 28.50 ,1,250,9,20-Feb,27.77,8.67,19.2,0,0
385,L Siaka (PNG),2015-2019,26,5, 12.00 ,0,56,9,16-Mar,6.22,4.66,8,0,0
386,MP Stoinis (AUS),2015-2019,19,15, 38.20 ,0,319,9,27-Feb,35.44,8.32,25.5,0,0
387,O Thomas (WI),2018-2019,10,10, 37.00 ,1,326,9,21-Feb,36.22,8.81,24.6,0,0
388,I Wardlaw (SCOT),2013-2013,4,4, 16.00 ,1,145,9,Mar-40,16.11,9.06,10.6,0,0
389,CG Williams (NAM),2019-2019,13,10, 23.00 ,1,142,9,9-Mar,15.77,6.17,15.3,0,0
390,UT Yadav (INDIA),2012-2019,7,7, 25.00 ,0,219,9,19-Feb,24.33,8.76,16.6,0,0
391,Aizaz Cheema (PAK),2011-2012,5,5, 17.00 ,0,116,8,30-Apr,14.5,6.82,12.7,1,0
392,M Ansari (OMAN),2015-2016,11,10, 37.50 ,0,334,8,Mar-37,41.75,8.82,28.3,0,0
393,OGL Bascome (BMUDA),2019-2019,11,6, 15.10 ,0,117,8,10-Apr,14.62,7.71,11.3,1,0
394,U Bhatti (CAN),2008-2010,7,7, 23.00 ,0,148,8,23-Mar,18.5,6.43,17.2,0,0
395,CJ Boyce (AUS),2014-2016,7,7, 23.00 ,0,152,8,10-Feb,19,6.6,17.2,0,0
396,CD de Lange (SCOT),2015-2017,8,7, 27.00 ,0,171,8,17-Feb,21.37,6.33,20.2,0,0
397,DC Delany (IRE),2019-2019,8,8, 28.30 ,0,222,8,12-Feb,27.75,7.78,21.3,0,0
398,Faran Afzal (ESP),2019-2019,9,8, 29.00 ,0,143,8,11-Mar,17.87,4.93,21.7,0,0
399,Fawad Alam (PAK),2007-2010,24,6, 15.00 ,0,95,8,7-Mar,11.87,6.33,11.2,0,0
400,H Fennell (Arg),2019-2019,5,5, 12.00 ,1,57,8,12-Apr,7.12,4.75,9,1,0
401,SP Gauchan (NEPAL),2014-2015,9,8, 30.00 ,0,169,8,9-Mar,21.12,5.63,22.5,0,0
402,SC Getkate (IRE),2019-2019,14,14, 35.00 ,0,323,8,15-Feb,40.37,9.22,26.2,0,0
403,JOA Gordon (CAN),2013-2019,7,7, 25.50 ,0,184,8,14-Mar,23,7.12,19.3,0,0
404,K Gore (USA),2019-2019,4,4, 16.00 ,2,70,8,5-Mar,8.75,4.37,12,0,0
405,H Gori (CZK-R),2019-2019,7,7, 23.00 ,0,133,8,13-Mar,16.62,5.78,17.2,0,0
406,Z Groenewald (NAM),2019-2019,10,10, 28.00 ,2,163,8,20-Mar,20.37,5.82,21,0,0
407,JR Hazlewood (AUS),2013-2016,7,7, 28.00 ,0,269,8,30-Apr,33.62,9.6,21,1,0
408,L Hermida (Mex),2019-2019,5,5, 18.00 ,1,94,8,20-Mar,11.75,5.22,13.5,0,0
409,Inam-ul-Haq (QAT),2019-2019,11,10, 31.00 ,2,211,8,23-Feb,26.37,6.8,23.2,0,0
410,Junaid Khan (PAK),2011-2014,9,9, 27.00 ,0,236,8,24-Mar,29.5,8.74,20.2,0,0
411,P Khadka (NEPAL),2014-2019,30,23, 51.00 ,2,323,8,11-Feb,40.37,6.33,38.2,0,0
412,P Kumar (INDIA),2008-2012,10,10, 26.00 ,1,193,8,14-Feb,24.12,7.42,19.5,0,0
413,RAS Lakmal (SL),2011-2019,11,11, 34.40 ,0,330,8,26-Feb,41.25,9.51,26,0,0
414,AV Lalcheta (OMAN),2015-2019,17,15, 51.30 ,3,374,8,13-Jan,46.75,7.26,38.6,0,0
415,WK McCallan (IRE),2008-2009,9,7, 21.50 ,0,152,8,26-Feb,19,6.96,16.3,0,0
416,Mohammad Ashraful (BDESH),2007-2013,23,8, 23.00 ,0,210,8,Mar-42,26.25,9.13,17.2,0,0
417,Mohamed Mahfooz (Mald),2019-2019,11,11, 37.50 ,0,262,8,20-Feb,32.75,6.92,28.3,0,0
418,GBW Munaweera (QAT),2019-2019,5,5, 18.00 ,0,132,8,18-Feb,16.5,7.33,13.5,0,0
419,AK Muslar (Blz),2019-2019,3,3, 9.00 ,1,41,8,10-Mar,5.12,4.55,6.7,0,0
420,Nasrulla Rana (HKG),2019-2019,8,8, 20.30 ,0,162,8,25-Mar,20.25,7.9,15.3,0,0
421,Nazmul Islam (BDESH),2018-2018,13,12, 38.30 ,2,265,8,28-Mar,33.12,6.88,28.8,0,0
422,AR Nurse (WI),2011-2019,13,13, 40.00 ,0,318,8,6-Feb,39.75,7.95,30,0,0
423,Rakibul Hasan (ITA),2019-2019,8,7, 23.00 ,2,147,8,20-Feb,18.37,6.39,17.2,0,0
424,Rumman Raees (PAK),2016-2018,8,8, 28.50 ,2,220,8,24-Feb,27.5,7.63,21.6,0,0
425,R Satheesan (ROM),2019-2019,4,4, 13.00 ,2,44,8,14-Mar,5.5,3.38,9.7,0,0
426,I Sharma (INDIA),2008-2013,14,14, 46.20 ,0,400,8,Feb-34,50,8.63,34.7,0,0
427,TAM Siriwardana (SL),2015-2017,22,13, 23.00 ,0,206,8,17-Feb,25.75,8.95,17.2,0,0
428,A Symonds (AUS),2005-2009,14,12, 30.50 ,0,277,8,14-Feb,34.62,8.98,23.1,0,0
429,P Taylor (CZK-R),2019-2019,7,6, 18.00 ,0,144,8,28-Apr,18,8,13.5,1,0
430,SN Thakur (INDIA),2018-2018,7,7, 27.30 ,0,242,8,27-Apr,30.25,8.8,20.6,1,0
431,RJ Trott (BMUDA),2008-2019,15,13, 38.30 ,0,277,8,15-Feb,34.62,7.19,28.8,0,0
432,R van der Merwe (Arg),2019-2019,5,5, 13.00 ,2,62,8,9-Mar,7.75,4.76,9.7,0,0
433,JJ van der Wath (SA),2006-2007,8,8, 31.00 ,0,231,8,Feb-31,28.87,7.45,23.2,0,0
434,TC Vine (ESP),2019-2019,6,6, 15.00 ,0,105,8,28-Apr,13.12,7,11.2,1,0
435,C Waiswa (UGA),2019-2019,4,4, 14.00 ,0,115,8,Apr-38,14.37,8.21,10.5,1,0
436,Waqar Khan (Peru),2019-2019,4,4, 13.00 ,0,86,8,21-Mar,10.75,6.61,9.7,0,0
437,Abdul-Shakoor Rahimzei (GER),2019-2019,7,6, 15.30 ,0,101,7,10-Feb,14.42,6.51,13.2,0,0
438,Bashir Shah (DEN),2019-2019,4,4, 14.00 ,0,76,7,14-Mar,10.85,5.42,12,0,0
439,JP Behrendorff (AUS),2017-2019,7,6, 16.00 ,0,117,7,21-Apr,16.71,7.31,13.7,1,0
440,D Bishoo (WI),2011-2019,7,7, 20.10 ,1,137,7,17-Apr,19.57,6.79,17.2,1,0
441,M de Lange (SA),2012-2015,6,6, 23.20 ,0,228,7,26-Feb,32.57,9.77,20,0,0
442,Delawar Khan (DEN),2019-2019,9,7, 20.00 ,1,129,7,21-Feb,18.42,6.45,17.1,0,0
443,JL Denly (ENG),2009-2019,10,5, 11.00 ,0,85,7,19-Apr,12.14,7.72,9.4,1,0
444,G Goudie (SCOT),2010-2013,9,9, 24.50 ,0,224,7,22-Mar,32,9.02,21.2,0,0
445,Habib Ahmadzai (Aut),2019-2019,5,5, 14.00 ,1,96,7,12-Apr,13.71,6.85,12,1,0
446,AS Hansra (CAN),2012-2013,8,6, 15.00 ,0,94,7,13-Feb,13.42,6.26,12.8,0,0
447,JW Hastings (AUS),2010-2016,9,9, 31.00 ,0,247,7,14-Mar,35.28,7.96,26.5,0,0
448,MJ Henry (NZ),2014-2017,6,6, 22.00 ,1,191,7,Mar-44,27.28,8.68,18.8,0,0
449,Hirenkumar Patel (Chile),2019-2019,4,4, 15.00 ,0,82,7,21-Apr,11.71,5.46,12.8,1,0
450,GB Hogg (AUS),2006-2014,15,15, 49.00 ,1,373,7,Feb-31,53.28,7.61,42,0,0
451,Ibrarul Haq (Saudi),2019-2019,5,5, 17.00 ,0,116,7,28-Mar,16.57,6.82,14.5,0,0
452,Imran Ali (KUW),2019-2019,4,4, 15.00 ,0,136,7,16-Mar,19.42,9.06,12.8,0,0
453,Imran Haider (UAE),2016-2019,11,11, 31.00 ,0,250,7,16-Jan,35.71,8.06,26.5,0,0
454,Jasdeep Singh (USA),2019-2019,4,4, 14.00 ,1,140,7,18-Feb,20,10,12,0,0
455,LM Jongwe (ZIM),2015-2016,8,7, 21.20 ,0,211,7,24-Feb,30.14,9.89,18.2,0,0
456,Junaid Siddique (UAE),2019-2019,8,8, 26.20 ,1,179,7,Feb-34,25.57,6.79,22.5,0,0
457,S Randiv (SL),2010-2011,7,7, 21.00 ,0,139,7,20-Mar,19.85,6.61,18,0,0
458,NR Kumar (CAN),2012-2019,18,10, 26.00 ,0,160,7,18-Feb,22.85,6.15,22.2,0,0
459,JB Little (IRE),2016-2019,11,11, 40.40 ,0,367,7,20-Feb,52.42,9.02,34.8,0,0
460,MF Maharoof (SL),2006-2016,8,8, 27.00 ,0,199,7,18-Feb,28.42,7.37,23.1,0,0
461,NA Maiolo (ITA),2019-2019,8,7, 28.00 ,0,152,7,8-Feb,21.71,5.42,24,0,0
462,CS Martin (NZ),2007-2008,6,6, 23.00 ,1,193,7,14-Feb,27.57,8.39,19.7,0,0
463,ZE Matsinhe (Moz),2019-2019,7,5, 16.00 ,0,101,7,27-Mar,14.42,6.31,13.7,0,0
464,Muslim Yar (GER),2019-2019,7,7, 19.00 ,1,119,7,17-Feb,17,6.26,16.2,0,0
465,CT Mutombodzi (ZIM),2013-2019,13,9, 26.00 ,0,188,7,12-Feb,26.85,7.23,22.2,0,0
466,A Nanda (LUX),2019-2019,3,3, 7.20 ,0,47,7,6-May,6.71,6.4,6.2,0,1
467,Nasir Hossain (BDESH),2011-2016,31,11, 29.50 ,0,262,7,26-Feb,37.42,8.78,25.5,0,0
468,Naveen-ul-Haq (AFG),2019-2019,4,4, 15.00 ,0,102,7,24-Mar,14.57,6.8,12.8,0,0
469,R Panchal (ESP),2019-2019,9,9, 28.00 ,1,139,7,22-Mar,19.85,4.96,24,0,0
470,SR Patel (ENG),2011-2013,18,15, 42.00 ,0,321,7,6-Feb,45.85,7.64,36,0,0
471,A Rangaswamy (Botsw),2019-2019,4,4, 9.40 ,1,83,7,21-Apr,11.85,8.58,8.2,1,0
472,JB Reva (PNG),2015-2019,9,8, 21.10 ,0,148,7,11-Feb,21.14,6.99,18.1,0,0
473,MJ Ross (ITA),2019-2019,8,7, 19.00 ,0,120,7,15-Apr,17.14,6.31,16.2,1,0
474,Sayed Shirzad (AFG),2015-2019,4,4, 15.00 ,1,116,7,16-Mar,16.57,7.73,12.8,0,0
475,B Shikongo (NAM),2019-2019,11,10, 23.00 ,0,131,7,4-Feb,18.71,5.69,19.7,0,0
476,DR Smith (WI),2006-2015,33,11, 23.40 ,0,212,7,24-Mar,30.28,8.95,20.2,0,0
477,M Spry (Peru),2019-2019,4,4, 10.00 ,0,62,7,8-Apr,8.85,6.2,8.5,1,0
478,S Sreesanth (INDIA),2006-2008,10,9, 34.00 ,2,288,7,12-Feb,41.14,8.47,29.1,0,0
479,JTS Sumerauer (JER),2019-2019,8,8, 20.10 ,0,155,7,10-Feb,22.14,7.68,17.2,0,0
480,T Thushara (SL),2008-2010,6,6, 22.00 ,0,179,7,Feb-37,25.57,8.13,18.8,0,0
481,JC Tredwell (ENG),2012-2014,17,15, 52.50 ,0,416,7,16-Jan,59.42,7.87,45.2,0,0
482,BM Wheeler (NZ),2017-2018,6,6, 21.20 ,0,216,7,16-Feb,30.85,10.12,18.2,0,0
483,CR Woakes (ENG),2011-2015,8,8, 27.00 ,0,253,7,Feb-40,36.14,9.37,23.1,0,0
484,M Abdulla (MWI),2019-2019,5,3, 12.00 ,0,76,6,25-Mar,12.66,6.33,12,0,0
485,Abdullah Akbarjan (Aut),2019-2019,5,4, 13.00 ,0,72,6,20-Mar,12,5.53,13,0,0
486,IKO Aboagye (Ghana),2019-2019,4,4, 14.00 ,0,83,6,26-Mar,13.83,5.92,14,0,0
487,Abu Hider (BDESH),2016-2018,13,12, 36.00 ,0,330,6,Feb-40,55,9.16,36,0,0
488,VD Adewoye (NGA),2019-2019,7,7, 16.20 ,1,135,6,18-Apr,22.5,8.26,16.3,1,0
489,CM Akachukwu (NGA),2019-2019,8,8, 18.20 ,0,151,6,Feb-34,25.16,8.23,18.3,0,0
490,Aminul Islam (BDESH),2019-2019,4,4, 14.00 ,0,98,6,18-Feb,16.33,7,14,0,0
491,Amir Hayat (UAE),2018-2019,4,4, 14.00 ,0,103,6,16-Feb,17.16,7.35,14,0,0
492,WD Balaji Rao (CAN),2008-2008,4,4, 14.00 ,0,107,6,21-Mar,17.83,7.64,14,0,0
493,TL Best (WI),2013-2014,6,6, 20.00 ,0,154,6,18-Mar,25.66,7.7,20,0,0
494,JAR Blain (SCOT),2007-2008,6,5, 20.00 ,0,108,6,23-Feb,18,5.4,20,0,0
495,NM Carter (SCOT),2013-2013,7,7, 26.00 ,1,168,6,27-Feb,28,6.46,26,0,0
496,JW Chilia (VAN),2019-2019,14,13, 47.20 ,0,315,6,21-Jan,52.5,6.65,47.3,0,0
497,MJ Clarke (AUS),2005-2010,34,15, 26.00 ,0,225,6,2-Jan,37.5,8.65,26,0,0
498,MNR Cooray (Mald),2019-2019,4,4, 16.00 ,0,99,6,26-Mar,16.5,6.18,16,0,0
499,SM Curran (ENG),2019-2019,5,5, 18.00 ,0,153,6,22-Feb,25.5,8.5,18,0,0
500,F Damiao Couana (Moz),2019-2019,7,5, 18.50 ,2,118,6,10-Mar,19.66,6.26,18.8,0,0
501,S Davizi (CZK-R),2019-2019,2,2, 4.20 ,0,23,6,15-Apr,3.83,5.3,4.3,1,0
502,S Dhaniram (CAN),2008-2010,11,11, 33.40 ,1,192,6,9-Feb,32,5.7,33.6,0,0
503,M Faheem (THAI),2019-2019,4,4, 14.00 ,0,103,6,20-Feb,17.16,7.35,14,0,0
504,Farhad Reza (BDESH),2006-2014,13,11, 26.00 ,0,261,6,Feb-34,43.5,10.03,26,0,0
