ID,Player,Span,Mat,Inns, Overs ,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
96,Khawar Ali (OMAN),2015-2019,29,27, 82.00 ,0,534,29,16-Apr,18.41,6.51,16.9,1,0
97,AL Phehlukwayo (SA),2017-2019,23,22, 69.50 ,0,550,29,24-Apr,18.96,7.87,14.4,1,0
98,R Rampaul (WI),2007-2015,23,23, 82.50 ,1,705,29,16-Mar,24.31,8.51,17.1,0,0
99,BD Glover (NL),2019-2019,19,19, 65.00 ,0,448,28,12-Apr,16,6.89,13.9,2,0
100,RM Haq (SCOT),2007-2013,21,20, 75.00 ,1,472,28,20-Mar,16.85,6.29,16,0,0
101,KM Jarvis (ZIM),2011-2019,22,22, 74.40 ,0,665,28,15-Mar,23.75,8.9,16,0,0
102,S Lamichhane (ICC/NEPAL),2018-2019,18,18, 64.00 ,0,439,28,20-Apr,15.67,6.85,13.7,1,0
103,B Lee (AUS),2005-2012,25,25, 90.50 ,0,714,28,23-Mar,25.5,7.86,19.4,0,0
104,DP Nannes (AUS/NL),2009-2010,17,16, 61.00 ,2,459,28,18-Apr,16.39,7.52,13,1,0
105,IK Pathan (INDIA),2006-2012,24,23, 77.00 ,1,618,28,16-Mar,22.07,8.02,16.5,0,0
106,KA Pollard (WI),2008-2019,68,44, 97.00 ,0,830,28,30-Mar,29.64,8.55,20.7,0,0
107,K Rabada (SA),2014-2019,21,21, 77.20 ,0,648,28,30-Mar,23.14,8.37,16.5,0,0
108,Rubel Hossain (BDESH),2009-2018,27,26, 94.30 ,0,879,28,31-Mar,31.39,9.3,20.2,0,0
109,Samiullah Shinwari (AFG),2010-2019,62,38, 105.40 ,0,688,28,13-May,24.57,6.51,22.6,1,1
110,Shoaib Malik (ICC/PAK),2006-2019,111,46, 90.00 ,0,644,28,7-Feb,23,7.15,19.2,0,0
111,SW Tait (AUS),2007-2016,21,21, 79.40 ,2,589,28,13-Mar,21.03,7.39,17,0,0
112,Yuvraj Singh (INDIA),2007-2017,58,31, 70.40 ,0,499,28,17-Mar,17.82,7.06,15.1,0,0
113,A Zampa (AUS),2016-2019,27,26, 93.00 ,1,572,28,14-Mar,20.42,6.15,19.9,0,0
